population_density,vaccination_pct,sanitation_index,rainfall_mm,outbreak_risk_score
620,89.6,1.6,198.9,37.59
345,69.6,5.4,496.1,52.11
9297,35.1,3.5,438.5,74.67
8097,84.5,4.1,378.8,42.22
1267,90.9,1.7,74.9,16.77
611,43.6,1.0,293.9,48.47
3349,52.2,7.9,233.9,54.51
758,79.9,2.1,179.4,26.99
9421,68.5,9.1,209.4,60.8
7407,58.3,8.3,290.5,63.8
3779,74.1,6.7,455.6,64.48
5248,84.2,9.6,330.3,64.94
9218,72.7,3.3,429.5,44.34
7942,81.2,6.8,291.3,58.35
1143,82.3,9.7,117.8,41.13
8115,94.9,1.3,107.5,30.85
2720,47.8,7.1,188.1,41.98
2374,82.4,6.8,464.2,65.08
8373,64.0,9.5,412.7,81.36
9735,40.2,9.1,481.3,98.17
2924,64.0,5.2,487.8,63.76
7665,34.4,2.2,454.5,75.8
2820,39.5,7.6,476.2,70.47
9558,53.6,7.0,86.2,49.78
2622,46.4,9.1,242.4,55.1
